Year;WMI;Brand;ModelName;distinct_users;distinct_requests
2019;5A5;NOT FOUND;NOT FOUND;1;1
2019;5A6;NOT FOUND;NOT FOUND;1;1
2019;5AJ;NOT FOUND;NOT FOUND;2;2
2019;5al;NOT FOUND;NOT FOUND;1;1
2019;5an;NOT FOUND;NOT FOUND;1;1
2019;5ar;NOT FOUND;NOT FOUND;2;5
2019;5b1;NOT FOUND;NOT FOUND;12;17
2019;5b3;NOT FOUND;NOT FOUND;1;1
2019;5CB;NOT FOUND;NOT FOUND;2;4
2019;5dt;NOT FOUND;NOT FOUND;6;7
2019;5ED;NOT FOUND;NOT FOUND;1;1
2019;5en;NOT FOUND;NOT FOUND;2;4
2019;5f2;MAZDA;TRIBUTE;3;9
2019;5f5;NOT FOUND;NOT FOUND;2;4
2019;5fb;NOT FOUND;NOT FOUND;1;1
2019;5fm;NOT FOUND;NOT FOUND;1;2
2019;5FN;HONDA;MR-V;25;56
2019;5fn;HONDA;ODYSSEY;292;1099
2019;5FN;HONDA;PILOT;125;292
2019;5FN;NOT FOUND;NOT FOUND;54;97
2019;5FP;HONDA;RIDGELINE;9;13
2019;5fp;NOT FOUND;NOT FOUND;1;1
2019;5g6;NOT FOUND;NOT FOUND;2;2
2019;5gn;NOT FOUND;NOT FOUND;1;1
2019;5gr;NOT FOUND;NOT FOUND;81;167
2019;5gt;NOT FOUND;NOT FOUND;118;249
2019;5GX;NOT FOUND;NOT FOUND;1;1
2019;5gz;NOT FOUND;NOT FOUND;20;25
2019;5H1;NOT FOUND;NOT FOUND;1;1
2019;5h3;NOT FOUND;NOT FOUND;1;4
2019;5h5;NOT FOUND;NOT FOUND;2;2
2019;5h6;NOT FOUND;NOT FOUND;1;1
2019;5HK;NOT FOUND;NOT FOUND;1;2
2019;5hm;NOT FOUND;NOT FOUND;2;2
2019;5HP;NOT FOUND;NOT FOUND;2;2
2019;5hs;NOT FOUND;NOT FOUND;1;2
2019;5J6;HONDA;ACCORD;4;5
2019;5j6;HONDA;CROSSTOUR;2;2
2019;5j6;HONDA;CR-V;317;818
2019;5J6;HONDA;ELEMENT;169;413
2019;5j6;NOT FOUND;NOT FOUND;185;541
2019;5j8;NOT FOUND;NOT FOUND;47;80
2019;5ja;NOT FOUND;NOT FOUND;1;1
2019;5JB;NOT FOUND;NOT FOUND;3;5
2019;5JF;NOT FOUND;NOT FOUND;1;3
2019;5jg;NOT FOUND;NOT FOUND;4;6
2019;5JH;NOT FOUND;NOT FOUND;2;2
2019;5jm;NOT FOUND;NOT FOUND;1;1
2019;5jn;NOT FOUND;NOT FOUND;31;59
2019;5jr;NOT FOUND;NOT FOUND;1;1
2019;5jt;NOT FOUND;NOT FOUND;2;3
2019;5kb;HONDA;ODYSSEY;4;6
2019;5kb;NOT FOUND;NOT FOUND;64;136
2019;5kc;NOT FOUND;NOT FOUND;5;11
2019;5ks;NOT FOUND;NOT FOUND;1;1
2019;5kt;NOT FOUND;NOT FOUND;1;3
2019;5L6;NOT FOUND;NOT FOUND;3;5
2019;5LG;NOT FOUND;NOT FOUND;1;1
2019;5LM;NOT FOUND;NOT FOUND;80;140
2019;5ln;NOT FOUND;NOT FOUND;2;2
2019;5m1;NOT FOUND;NOT FOUND;3;3
2019;5M3;NOT FOUND;NOT FOUND;1;1
2019;5MM;NOT FOUND;NOT FOUND;1;1
2019;5MX;NOT FOUND;NOT FOUND;1;1
2019;5n1;INFINITI;QX60 HYBIRD;1;2
2019;5n1;INFINITI;QX60/JX;40;111
2019;5n1;NISSAN;ARMADA;136;317
2019;5n1;NISSAN;PATHFINDER;375;1391
2019;5N1;NISSAN;QUEST;43;84
2019;5n1;NISSAN;ROGUE;2;6
2019;5N1;NISSAN;XTERRA;236;816
2019;5n1;NOT FOUND;NOT FOUND;65;129
2019;5n2;NOT FOUND;NOT FOUND;2;2
2019;5n3;INFINITI;QX56;225;607
2019;5N3;NOT FOUND;NOT FOUND;18;41
2019;5NA;NOT FOUND;NOT FOUND;2;2
2019;5nd;NOT FOUND;NOT FOUND;1;1
2019;5NF;NOT FOUND;NOT FOUND;2;2
2019;5ni;NISSAN;PATHFINDER;1;1
2019;5NI;NISSAN;XTERRA;2;2
2019;5NI;NOT FOUND;NOT FOUND;1;1
2019;5NL;NOT FOUND;NOT FOUND;1;1
2019;5NM;HYUNDAI;Santa Fe;2;2
2019;5nm;HYUNDAI;SANTA FE 06 (ALABAMA PLANT-CAN): -DEC.31.2006 (2006-2006);4;8
2019;5nm;HYUNDAI;SANTA FE 06 (ALABAMA PLANT-CAN): JAN.01.2007- (2006-2009);5;26
2019;5nm;HYUNDAI;SANTA FE 06 (ALABAMA PLANT-USA): -DEC.31.2006 (2007-);48;83
2019;5NM;HYUNDAI;SANTA FE 06 (ALABAMA PLANT-USA): JAN.01.2007- (2007-2010);66;131
2019;5NM;HYUNDAI;SANTA FE 10 (ALABAMA PLANT-USA) (2009-2010);19;35
2019;5nm;NOT FOUND;NOT FOUND;9;10
2019;5NP;HYUNDAI;ELANTRA;1;1
2019;5np;HYUNDAI;ELANTRA 11(ALABAMA PLANT-CAN) (2010-2013);1;1
2019;5np;HYUNDAI;ELANTRA 11(ALABAMA PLANT-USA) (2010-2013);23;44
2019;5np;HYUNDAI;ELANTRA 14(ALABAMA PLANT-USA) (2013-2015);3;8
2019;5np;HYUNDAI;SONATA 04 (ALABAMA PLANT-CAN): -DEC.31.2006 (2006-2006);1;1
2019;5np;HYUNDAI;SONATA 04 (ALABAMA PLANT-USA): JAN.01.2007- (2004-2008);14;27
2019;5NP;HYUNDAI;SONATA 06 (ALABAMA PLANT-USA): -DEC.31.2006 (2006-);45;84
2019;5NP;HYUNDAI;SONATA 08(ALABAMA PLANT-USA) (2008-);29;50
2019;5np;HYUNDAI;SONATA 10(ALABAMA PLANT-CAN) (2010-2014);1;1
2019;5np;HYUNDAI;SONATA 10(ALABAMA PLANT-USA) (2010-2014);150;401
2019;5NP;HYUNDAI;SONATA 15(ALABAMA PLANT-CAN) (2014-2017);2;2
2019;5NP;HYUNDAI;SONATA 15(ALABAMA PLANT-USA) (2014-2017);61;105
2019;5np;NOT FOUND;NOT FOUND;17;25
2019;5nr;NOT FOUND;NOT FOUND;3;5
2019;5nt;NOT FOUND;NOT FOUND;7;19
2019;5PN;NOT FOUND;NOT FOUND;1;1
2019;5s2;NOT FOUND;NOT FOUND;1;1
2019;5s3;NOT FOUND;NOT FOUND;7;12
2019;5s4;NOT FOUND;NOT FOUND;1;1
2019;5s6;NOT FOUND;NOT FOUND;1;1
2019;5sb;NOT FOUND;NOT FOUND;2;2
2019;5SD;NOT FOUND;NOT FOUND;1;1
2019;5sh;NOT FOUND;NOT FOUND;1;1
2019;5st;NOT FOUND;NOT FOUND;2;2
2019;5t1;NOT FOUND;NOT FOUND;22;29
